TRAVEL QUOTATION,
,
Inquiry ID,INQ_20250619_160517_demo_003
Date,"June 19, 2025"
Customer Name,TechCompany Ltd.
Email,corporate@techcompany.com
Phone,
,
TRIP DETAILS,
Destinations,"Jaipur, Delhi, Agra"
Number of Travelers,18
Duration,3 nights
Travel Dates,10th February 2025
Total Budget,"Rs. 8,00,000"
,
SPECIAL REQUIREMENTS,
Requirements,Corporate arrangements
,
SERVICES INCLUDED,
Services,"Accommodation, Meals as specified, Transportation, Sightseeing, Guide services"
,
STATUS,
Inquiry Type,modification
Processing Status,success
Generated At,2025-06-19T16:05:17.350153
